radian measurement is represented as rad
		 radian 		| cos(radian) 		| sin(rad) 		|   tan(rad)
t		0.0		 | 1.0		 0.0 		 0.0
t		0.262		 | 0.9659258262890683		 0.25881904510252074 		 0.2679491924311227
t		0.524		 | 0.8660254037844387		 0.49999999999999994 		 0.5773502691896257
t		0.785		 | 0.7071067811865476		 0.7071067811865475 		 0.9999999999999999
t		1.047		 | 0.5000000000000001		 0.8660254037844386 		 1.7320508075688767
t		1.309		 | 0.25881904510252096		 0.9659258262890682 		 3.7320508075688745
t		1.571		 | 2.83276944882399E-16		 1.0 		 3.5301143212171575E15
t		1.833		 | -0.2588190451025204		 0.9659258262890684 		 -3.732050807568883
t		2.094		 | -0.4999999999999998		 0.8660254037844387 		 -1.7320508075688783
t		2.356		 | -0.7071067811865475		 0.7071067811865476 		 -1.0000000000000002
t		2.618		 | -0.8660254037844387		 0.49999999999999994 		 -0.5773502691896257
t		2.88		 | -0.9659258262890683		 0.2588190451025206 		 -0.26794919243112253
t		3.142		 | -1.0		 -3.216245299353273E-16 		 3.216245299353273E-16
t		3.403		 | -0.9659258262890682		 -0.2588190451025212 		 0.2679491924311232
t		3.665		 | -0.8660254037844384		 -0.5000000000000006 		 0.5773502691896266
t		3.927		 | -0.707106781186547		 -0.7071067811865481 		 1.0000000000000016
t		4.189		 | -0.4999999999999996		 -0.8660254037844388 		 1.732050807568879
t		4.451		 | -0.25881904510252063		 -0.9659258262890683 		 3.732050807568879
t		4.712		 | -1.8369701987210297E-16		 -1.0 		 5.443746451065123E15
t		4.974		 | 0.2588190451025203		 -0.9659258262890684 		 -3.7320508075688847
t		5.236		 | 0.49999999999999933		 -0.866025403784439 		 -1.7320508075688805
t		5.498		 | 0.7071067811865468		 -0.7071067811865483 		 -1.0000000000000022
t		5.76		 | 0.8660254037844379		 -0.5000000000000012 		 -0.5773502691896276
t		6.021		 | 0.9659258262890679		 -0.2588190451025224 		 -0.2679491924311245
t		6.283		 | 1.0		 -2.021286199229721E-15 		 -2.021286199229721E-15
